Emma hoped that the tayutenotipevobe rolled .	* tayutenotipevobe ( x _ 4 ) ; hope . agent ( x _ 1 , Emma ) AND hope . ccomp ( x _ 1 , x _ 5 ) AND roll . theme ( x _ 5 , x _ 4 )	exposure_example_unacc_subj
A pumpkin was gaxarowaxehosanawupifuwena .	pumpkin ( x _ 1 ) AND gazekimewudacucoxiquv . theme ( x _ 3 , x _ 1 )	exposure_example_passive
The girl liked that Leah bedelasuxumecupem Sophia the cake in a house .	* girl ( x _ 1 ) ; * cake ( x _ 8 ) ; like . agent ( x _ 2 , x _ 1 ) AND like . ccomp ( x _ 2 , x _ 5 ) AND xonezopirukupusuzageberis . agent ( x _ 5 , Leah ) AND xonezopirukupusuzageberis . recipient ( x _ 5 , Sophia ) AND xonezopirukupusuzageberis . theme ( x _ 5 , x _ 8 ) AND cake . nmod . in ( x _ 8 , x _ 11 ) AND house ( x _ 11 )	exposure_example_do_dative
tulibefoqazoqoq	tulibefoqazoqoq	primitive
tulibefoqazoqoq	tulibefoqazoqoq	primitive
The buyer forwarded Emma nuzupuyucucimuvogitobi .	* buyer ( x _ 1 ) ; forward . agent ( x _ 2 , x _ 1 ) AND forward . recipient ( x _ 2 , Emma ) AND forward . theme ( x _ 2 , nuzupuyucucimuvogitobi )	exposure_example_obj_proper
Wyatt puzohenamimohuxoxedodi .	qujugayisuruqabe . agent ( x _ 1 , Wyatt )	exposure_example_obj_omitted_transitive
The sopuliwasuwoyifadi burned the bear .	* sopuliwasuwoyifadi ( x _ 1 ) ; * bear ( x _ 4 ) ; burn . agent ( x _ 2 , x _ 1 ) AND burn . theme ( x _ 2 , x _ 4 )	exposure_example_subj_common
zuhoquqasopalewoto	LAMBDA a . LAMBDA e . zuhoquqasopalewoto . agent ( e , a )	primitive
The sandwich pehotilazotidicivagudaxexomem .	* sandwich ( x _ 1 ) ; cunesexozeciqitomojeba . theme ( x _ 2 , x _ 1 )	exposure_example_unacc
Emma ate the xuduwitawohasijuq on a road .	* xuduwitawohasijuq ( x _ 3 ) ; eat . agent ( x _ 1 , Emma ) AND eat . theme ( x _ 1 , x _ 3 ) AND xuduwitawohasijuq . nmod . on ( x _ 3 , x _ 6 ) AND road ( x _ 6 )	exposure_example_obj_common
Emma tekedumowizuvalamedoxabos Charlotte .	ramohazemoqemaquseyeg . agent ( x _ 1 , Emma ) AND ramohazemoqemaquseyeg . theme ( x _ 1 , Charlotte )	exposure_example_active
Emma tekedumowizuvalamedoxabos a cake beside the seat .	* seat ( x _ 6 ) ; ramohazemoqemaquseyeg . agent ( x _ 1 , Emma ) AND ramohazemoqemaquseyeg . theme ( x _ 1 , x _ 3 ) AND cake ( x _ 3 ) AND cake . nmod . beside ( x _ 3 , x _ 6 )	exposure_example_active
zuhoquqasopalewoto	LAMBDA a . LAMBDA e . zuhoquqasopalewoto . agent ( e , a )	primitive
